time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-1495.632918614451,-1046.802703329785,3043.997807027916
2.000000000000,-1455.821191980396,-1012.571917300309,2970.002588774197
3.000000000000,-1490.177282649328,-1043.501500012940,3035.224242822796
4.000000000000,-1580.235820914541,-1120.846538146001,3202.532133913275
5.000000000000,-1696.776085145978,-1217.976360293140,3416.112290651986
6.000000000000,-1806.858642276198,-1306.418199427166,3614.580517167205
7.000000000000,-1877.799672888643,-1358.931222193531,3738.035242282106
8.000000000000,-1887.505371488310,-1358.195634236075,3747.069705730362
9.000000000000,-1830.543724394540,-1301.742686431842,3633.767950853482
10.00000000000,-1719.301621697067,-1202.174269135538,3423.087578055094
11.00000000000,-1580.818236116240,-1083.806931804366,3166.347780062950
12.00000000000,-1449.249010505146,-975.8430554344894,2926.876970303572
13.00000000000,-1356.912283546607,-904.7139806110299,2763.411846473429
14.00000000000,-1325.932988479768,-887.2858718652637,2714.948241781888
15.00000000000,-1362.695817835228,-926.7431413542541,2791.072151734983
16.00000000000,-1456.261060938868,-1011.879665086026,2969.659775871914
17.00000000000,-1581.087960192037,-1119.728371268668,3202.229348015629
18.00000000000,-1703.326664834540,-1221.175475093822,3425.844244384208
19.00000000000,-1789.816492875945,-1288.760587992997,3579.904463000174
20.00000000000,-1816.557471967727,-1303.674529142412,3621.608823983529
21.00000000000,-1775.524772115212,-1261.286985823937,3538.290261578178
22.00000000000,-1676.645446918378,-1172.224813760934,3350.473514165438
23.00000000000,-1545.207559012546,-1059.513922681897,3106.436145912851
24.00000000000,-1414.916285929720,-952.2027317109970,2868.900737186739
25.00000000000,-1318.961539084393,-877.6820906640545,2698.432669321793
